ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2014,"2014",0,"Total",59688,13823,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2014,"2014",0,"Total",47243,6396,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2014,"2014",0,"Total",35078,5668,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2014,"2014",0,"Total",40673,7136.999999999999,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2014,"2014",0,"Total",55470,3507,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2014,"2014",0,"Total",29350,7844,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2014,"2014",0,"Total",31667,8504,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2014,"2014",0,"Total",33702,6131,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2014,"2014",0,"Total",35887,10872,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2014,"2014",0,"Total",34236,6505,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2014,"2014",0,"Total",35313,5218,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2014,"2014",0,"Total",39574,5687,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2014,"2014",0,"Total",40041,8966,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2014,"2014",0,"Total",100864,20829,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
2013,"2013",0,"Total",66591,11855,"Census Tract 6005.01, Los Angeles County, CA","14000US06037600501"
2013,"2013",0,"Total",65972,8276,"Census Tract 6005.02, Los Angeles County, CA","14000US06037600502"
2013,"2013",0,"Total",59028,12808,"Census Tract 6006.01, Los Angeles County, CA","14000US06037600601"
2013,"2013",0,"Total",26488,6155,"Census Tract 6006.02, Los Angeles County, CA","14000US06037600602"
2013,"2013",0,"Total",79740,15988.000000000002,"Census Tract 6007.02, Los Angeles County, CA","14000US06037600702"
2013,"2013",0,"Total",72672,11299,"Census Tract 6007.03, Los Angeles County, CA","14000US06037600703"
2013,"2013",0,"Total",63703,8540,"Census Tract 6007.04, Los Angeles County, CA","14000US06037600704"
2013,"2013",0,"Total",59426,13698,"Census Tract 6008.01, Los Angeles County, CA","14000US06037600801"
2013,"2013",0,"Total",50000,8863,"Census Tract 6008.02, Los Angeles County, CA","14000US06037600802"
2013,"2013",0,"Total",32950,3914,"Census Tract 6009.02, Los Angeles County, CA","14000US06037600902"
2013,"2013",0,"Total",50931,10819,"Census Tract 6009.11, Los Angeles County, CA","14000US06037600911"
2013,"2013",0,"Total",44511,6988,"Census Tract 6009.12, Los Angeles County, CA","14000US06037600912"
2013,"2013",0,"Total",26750,6587,"Census Tract 6010.01, Los Angeles County, CA","14000US06037601001"
2013,"2013",0,"Total",42244,7195,"Census Tract 6010.02, Los Angeles County, CA","14000US06037601002"
2013,"2013",0,"Total",27589,3174,"Census Tract 6011, Los Angeles County, CA","14000US06037601100"
2013,"2013",0,"Total",45169,5663,"Census Tract 6012.02, Los Angeles County, CA","14000US06037601202"
2013,"2013",0,"Total",36615,3721,"Census Tract 6012.11, Los Angeles County, CA","14000US06037601211"
2013,"2013",0,"Total",35850,3875.0000000000005,"Census Tract 6012.12, Los Angeles County, CA","14000US06037601212"
2013,"2013",0,"Total",63281,24662,"Census Tract 6013.01, Los Angeles County, CA","14000US06037601301"
2013,"2013",0,"Total",46940,6578,"Census Tract 6013.02, Los Angeles County, CA","14000US06037601302"
2013,"2013",0,"Total",37603,5092,"Census Tract 6013.03, Los Angeles County, CA","14000US06037601303"
2013,"2013",0,"Total",42414,5443,"Census Tract 6014.01, Los Angeles County, CA","14000US06037601401"
2013,"2013",0,"Total",54022,5484,"Census Tract 6014.02, Los Angeles County, CA","14000US06037601402"
2013,"2013",0,"Total",33958,9689,"Census Tract 6015.01, Los Angeles County, CA","14000US06037601501"
2013,"2013",0,"Total",31541,11908,"Census Tract 6017, Los Angeles County, CA","14000US06037601700"
2013,"2013",0,"Total",31310,6539,"Census Tract 6018.01, Los Angeles County, CA","14000US06037601801"
2013,"2013",0,"Total",46033,20932,"Census Tract 6018.02, Los Angeles County, CA","14000US06037601802"
2013,"2013",0,"Total",32939,4443,"Census Tract 6019, Los Angeles County, CA","14000US06037601900"
2013,"2013",0,"Total",36250,8334,"Census Tract 6020.03, Los Angeles County, CA","14000US06037602003"
2013,"2013",0,"Total",41940,7603.000000000001,"Census Tract 6020.04, Los Angeles County, CA","14000US06037602004"
2013,"2013",0,"Total",42650,7283.999999999999,"Census Tract 6021.04, Los Angeles County, CA","14000US06037602104"
2013,"2013",0,"Total",100950,13747,"Census Tract 7030.02, Los Angeles County, CA","14000US06037703002"
