ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",498,"Inglewood, CA","16000US0636546","inglewood-ca",606,0.005543916786357939
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",80,"Inglewood, CA","16000US0636546","inglewood-ca",86,0.0007867604680309947
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",451,"Inglewood, CA","16000US0636546","inglewood-ca",738,0.006751502621010164
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",2066,"Inglewood, CA","16000US0636546","inglewood-ca",23950,0.2191036419690968
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",678.1577987459851,"Inglewood, CA","16000US0636546","inglewood-ca",2582,0.02362111079600033
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",1576.4913574136713,"Inglewood, CA","16000US0636546","inglewood-ca",5820,0.0532435572551208
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",656,"Inglewood, CA","16000US0636546","inglewood-ca",4887,0.0445841277950608
0,"White Alone",1,"Hispanic or Latino",2019,"2019",1966,"Inglewood, CA","16000US0636546","inglewood-ca",25667,0.23416018173026923
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",1797.9999999999998,"Inglewood, CA","16000US0636546","inglewood-ca",43457,0.396458449271528
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",564,"Inglewood, CA","16000US0636546","inglewood-ca",1374,0.01253500953354073
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",261,"Inglewood, CA","16000US0636546","inglewood-ca",380,0.003466742083511992
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",318,"Inglewood, CA","16000US0636546","inglewood-ca",809,0.007380511435687373
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",465,"Inglewood, CA","16000US0636546","inglewood-ca",2156,0.019669199821189094
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",124,"Inglewood, CA","16000US0636546","inglewood-ca",109,0.0009944075976389662
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",429,"Inglewood, CA","16000US0636546","inglewood-ca",450,0.004105352467316833
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",71,"Inglewood, CA","16000US0636546","inglewood-ca",85,0.0007754554660487351
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",232.99999999999997,"Inglewood, CA","16000US0636546","inglewood-ca",442,0.004032368423453422
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",1949.9999999999998,"Inglewood, CA","16000US0636546","inglewood-ca",25293,0.23074817767965478
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",505.75586996099213,"Inglewood, CA","16000US0636546","inglewood-ca",2409,0.021977320208369445
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",585.5672463517747,"Inglewood, CA","16000US0636546","inglewood-ca",2095,0.01911269648673059
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",474,"Inglewood, CA","16000US0636546","inglewood-ca",4457,0.04039808931630517
0,"White Alone",1,"Hispanic or Latino",2018,"2018",2002.9999999999998,"Inglewood, CA","16000US0636546","inglewood-ca",25174,0.22817623972373036
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",1643,"Inglewood, CA","16000US0636546","inglewood-ca",45291,0.41051601149310685
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",507,"Inglewood, CA","16000US0636546","inglewood-ca",1035,0.009381203150634024
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",199,"Inglewood, CA","16000US0636546","inglewood-ca",318,0.002882340678165816
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",373,"Inglewood, CA","16000US0636546","inglewood-ca",896,0.008121312099486072
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",501.99999999999994,"Inglewood, CA","16000US0636546","inglewood-ca",2082,0.018871173874029024
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",69,"Inglewood, CA","16000US0636546","inglewood-ca",52,0.0004713261486308882
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",378,"Inglewood, CA","16000US0636546","inglewood-ca",317,0.0028732767137690683
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",87,"Inglewood, CA","16000US0636546","inglewood-ca",77,0.0006979252585495844
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",168,"Inglewood, CA","16000US0636546","inglewood-ca",346,0.003136131681274756
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",1807,"Inglewood, CA","16000US0636546","inglewood-ca",25395,0.23017937585541165
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",524.6227215819002,"Inglewood, CA","16000US0636546","inglewood-ca",2440,0.022116073128064753
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",636.380389389868,"Inglewood, CA","16000US0636546","inglewood-ca",2447,0.022179520878841986
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",530,"Inglewood, CA","16000US0636546","inglewood-ca",4127,0.037178170549339674
0,"White Alone",1,"Hispanic or Latino",2017,"2017",1953.0000000000002,"Inglewood, CA","16000US0636546","inglewood-ca",25476,0.2295011080482136
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",2035,"Inglewood, CA","16000US0636546","inglewood-ca",45444,0.40938327657964435
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",402,"Inglewood, CA","16000US0636546","inglewood-ca",964,0.008684215267643191
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",182,"Inglewood, CA","16000US0636546","inglewood-ca",187,0.001684593625569789
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",323,"Inglewood, CA","16000US0636546","inglewood-ca",687,0.006188854656505054
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",351,"Inglewood, CA","16000US0636546","inglewood-ca",1651,0.014873069924148245
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",45,"Inglewood, CA","16000US0636546","inglewood-ca",36,0.00032430679422733907
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",310,"Inglewood, CA","16000US0636546","inglewood-ca",109,0.0009819289047438876
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",67,"Inglewood, CA","16000US0636546","inglewood-ca",63,0.0005675368898978433
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",192,"Inglewood, CA","16000US0636546","inglewood-ca",407,0.0036664684791813057
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",1792,"Inglewood, CA","16000US0636546","inglewood-ca",27718,0.24969821451092733
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",378.25123925771874,"Inglewood, CA","16000US0636546","inglewood-ca",1976,0.017800839594256167
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",634.214474763861,"Inglewood, CA","16000US0636546","inglewood-ca",2161,0.019467416175702214
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",477,"Inglewood, CA","16000US0636546","inglewood-ca",4083,0.036779807588368824
0,"White Alone",1,"Hispanic or Latino",2016,"2016",1741,"Inglewood, CA","16000US0636546","inglewood-ca",25615,0.23074082081216446
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",1665,"Inglewood, CA","16000US0636546","inglewood-ca",46560,0.4194141173927143
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",422,"Inglewood, CA","16000US0636546","inglewood-ca",1070,0.009638597629085144
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",63.00000000000001,"Inglewood, CA","16000US0636546","inglewood-ca",101,0.0009098115519042986
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",264,"Inglewood, CA","16000US0636546","inglewood-ca",575,0.005179620221237344
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",341,"Inglewood, CA","16000US0636546","inglewood-ca",1443,0.012998594746513891
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",49,"Inglewood, CA","16000US0636546","inglewood-ca",38,0.00034230533636003314
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",173,"Inglewood, CA","16000US0636546","inglewood-ca",315,0.0028375310777213275
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",53,"Inglewood, CA","16000US0636546","inglewood-ca",37,0.00033329730119266383
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",216,"Inglewood, CA","16000US0636546","inglewood-ca",531,0.004783266673873095
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",1667,"Inglewood, CA","16000US0636546","inglewood-ca",26483,0.238559795337441
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",481.7053041019997,"Inglewood, CA","16000US0636546","inglewood-ca",2174,0.019583468453860844
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",584.0359577971205,"Inglewood, CA","16000US0636546","inglewood-ca",1987,0.017898965877562786
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",470,"Inglewood, CA","16000US0636546","inglewood-ca",3789,0.034009209144518944
0,"White Alone",1,"Hispanic or Latino",2015,"2015",1881,"Inglewood, CA","16000US0636546","inglewood-ca",28252,0.2535835779231853
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",1360,"Inglewood, CA","16000US0636546","inglewood-ca",46458,0.41699652637531304
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",285,"Inglewood, CA","16000US0636546","inglewood-ca",783,0.007028031343404152
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",36,"Inglewood, CA","16000US0636546","inglewood-ca",46,0.0004128856217070128
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",287,"Inglewood, CA","16000US0636546","inglewood-ca",492,0.00441608099738805
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",385,"Inglewood, CA","16000US0636546","inglewood-ca",1481,0.013293121864088825
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",54.99999999999999,"Inglewood, CA","16000US0636546","inglewood-ca",36,0.00032312787785766214
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",179,"Inglewood, CA","16000US0636546","inglewood-ca",303,0.002719659638635323
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",13,"Inglewood, CA","16000US0636546","inglewood-ca",7,0.00006283042069454542
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",154,"Inglewood, CA","16000US0636546","inglewood-ca",356,0.0031953756810368813
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",1931.9999999999998,"Inglewood, CA","16000US0636546","inglewood-ca",25852,0.23204171939934118
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",447.03579275042387,"Inglewood, CA","16000US0636546","inglewood-ca",2058,0.018472143684196356
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",458.4550141507889,"Inglewood, CA","16000US0636546","inglewood-ca",1498,0.01344571002863272
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",510,"Inglewood, CA","16000US0636546","inglewood-ca",3654,0.0328795227340214
0,"White Alone",1,"Hispanic or Latino",2014,"2014",1888,"Inglewood, CA","16000US0636546","inglewood-ca",27656,0.24885497556981276
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",1379,"Inglewood, CA","16000US0636546","inglewood-ca",46767,0.4208200984406072
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",261,"Inglewood, CA","16000US0636546","inglewood-ca",692,0.006226773325654846
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",57.99999999999999,"Inglewood, CA","16000US0636546","inglewood-ca",91,0.0008188386887783107
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",309,"Inglewood, CA","16000US0636546","inglewood-ca",526,0.00473306758568562
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",327,"Inglewood, CA","16000US0636546","inglewood-ca",1358,0.012219592740230175
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",54.99999999999999,"Inglewood, CA","16000US0636546","inglewood-ca",37,0.0003329344119208516
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",211,"Inglewood, CA","16000US0636546","inglewood-ca",431,0.0038782359875104604
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",12,"Inglewood, CA","16000US0636546","inglewood-ca",7,0.00006298759144448544
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",135,"Inglewood, CA","16000US0636546","inglewood-ca",320,0.0028794327517479056
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",1991.0000000000002,"Inglewood, CA","16000US0636546","inglewood-ca",25868,0.23276614506942134
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",559.3254866354653,"Inglewood, CA","16000US0636546","inglewood-ca",2119,0.01906724375298066
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",538.8970217026625,"Inglewood, CA","16000US0636546","inglewood-ca",1607,0.014460151350184013
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",565,"Inglewood, CA","16000US0636546","inglewood-ca",3792,0.03429036487769589
0,"White Alone",1,"Hispanic or Latino",2013,"2013",1935.0000000000002,"Inglewood, CA","16000US0636546","inglewood-ca",26879,0.24306189808744405
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",1761,"Inglewood, CA","16000US0636546","inglewood-ca",46745,0.4227065153501831
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",303,"Inglewood, CA","16000US0636546","inglewood-ca",940,0.008500248677487904
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",49,"Inglewood, CA","16000US0636546","inglewood-ca",79,0.0007143826016186643
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",225.99999999999997,"Inglewood, CA","16000US0636546","inglewood-ca",383,0.003463399195189221
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",302,"Inglewood, CA","16000US0636546","inglewood-ca",1112,0.01005561332911335
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",64,"Inglewood, CA","16000US0636546","inglewood-ca",46,0.00041596961613238684
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",295,"Inglewood, CA","16000US0636546","inglewood-ca",641,0.005796446172627391
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",17,"Inglewood, CA","16000US0636546","inglewood-ca",8,0.00007234254193606728
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",172,"Inglewood, CA","16000US0636546","inglewood-ca",296,0.002676674051634489
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",2024,"Inglewood, CA","16000US0636546","inglewood-ca",26478,0.23943572817289868
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",412.55423885835904,"Inglewood, CA","16000US0636546","inglewood-ca",2012,0.01819414929692092
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",345.7744929863971,"Inglewood, CA","16000US0636546","inglewood-ca",1174,0.010616268029117873
